"","MetaID","3317A","3318A","3319A","3320A","3321A","3322A","3325A","3326A"
"55","103.09979_14.45",17.5043900120782,21.4164130175064,19.8069751050723,15.2018049190842,16.8112428315183,17.2167079396264,21.4164130175064,19.8069751050723
"56","103.13172_14.304",11.0020998412042,11.1562505210315,13.8155105579643,8.85366542803745,10.5966347330961,12.2060726455302,13.8155105579643,13.1223633774043
"57","103.99323_6.67",8.51719319141624,9.90348755253613,9.90348755253613,7.60090245954208,8.00636756765025,8.29404964010203,16.8112428315183,16.1180956509583
"58","104.01099_14.077",6.90775527898214,9.21034037197618,10.5966347330961,9.21034037197618,9.21034037197618,9.90348755253613,10.5966347330961,6.90775527898214
"59","104.01104_13.051",9.21034037197618,10.5966347330961,9.21034037197618,10.5966347330961,10.5966347330961,10.5966347330961,12.8992198260901,10.3089526606443
"60","104.01106_5.638",12.2060726455302,13.8155105579643,12.2060726455302,11.5129254649702,11.5129254649702,10.8197782844103,11.5129254649702,12.8992198260901
"61","104.02229_7.929",10.8197782844103,12.6115377536383,12.2060726455302,11.0020998412042,11.4075649493124,11.5129254649702,11.289781913656,9.21034037197618
"62","104.04736_2.124",13.8155105579643,14.5086577385242,13.4588356140255,16.0127351353005,16.1180956509583,14.5086577385242,16.8112428315183,15.7614207070196
"63","104.04744_4.589",15.4249484703984,17.2167079396264,16.1180956509583,16.8112428315183,17.2167079396264,17.5043900120782,17.2167079396264,16.1180956509583
"64","104.05867_7.647",12.6115377536383,13.8155105579643,13.5923670066501,11.1562505210315,12.2060726455302,12.2060726455302,12.8992198260901,12.2060726455302
"65","104.06256_11.604",18.0640058000136,17.9098551201864,18.4206807439524,15.8949520996441,16.1180956509583,15.8949520996441,18.4206807439524,16.0127351353005
"66","105.02827_9.523",9.21034037197618,9.90348755253613,10.5966347330961,8.85366542803745,8.98719682066197,8.85366542803745,11.0020998412042,9.10497985631836
"67","105.0427_3.851",13.1223633774043,15.6072700271923,15.4249484703984,11.5129254649702,12.6115377536383,12.2060726455302,14.9141228466324,13.1223633774043
"68","105.06132_12.913",15.4249484703984,16.8112428315183,16.1180956509583,13.7101500423064,14.5086577385242,14.5086577385242,18.0640058000136,15.2018049190842
"69","105.07912_11.953",12.8992198260901,13.7101500423064,9.90348755253613,12.2060726455302,12.2060726455302,12.6115377536383,13.4588356140255,12.2060726455302
"70","105.96412_20.98",16.0127351353005,17.9098551201864,17.7275335633924,15.2018049190842,15.2018049190842,15.8949520996441,17.5043900120782,16.8112428315183
"71","105.96412_22.679",13.4588356140255,13.4588356140255,13.1223633774043,13.4588356140255,13.4588356140255,13.4588356140255,12.2060726455302,13.4588356140255
"72","106.00736_9.53",10.5966347330961,11.1562505210315,13.1223633774043,10.3089526606443,10.3089526606443,9.90348755253613,14.5086577385242,11.5129254649702
"73","106.00737_11.639",12.2060726455302,15.4249484703984,15.4249484703984,9.21034037197618,10.5966347330961,11.4075649493124,15.7614207070196,13.1223633774043
"74","106.00888_6.045",12.8992198260901,9.90348755253613,14.5086577385242,7.60090245954208,9.90348755253613,10.5966347330961,10.3089526606443,11.5129254649702
"75","106.02447_9.498",8.00636756765025,8.85366542803745,10.3089526606443,7.60090245954208,8.00636756765025,7.60090245954208,10.5966347330961,8.00636756765025
"76","106.04185_8.916",10.3089526606443,12.8992198260901,13.8155105579643,9.90348755253613,9.90348755253613,9.90348755253613,13.8155105579643,11.4075649493124
"77","106.06301_6.453",14.5086577385242,15.8949520996441,15.6072700271923,14.5086577385242,15.4249484703984,15.4249484703984,13.8155105579643,12.6115377536383
"78","106.06302_3.704",9.90348755253613,10.5966347330961,10.8197782844103,8.98719682066197,9.21034037197618,9.90348755253613,11.1562505210315,10.3089526606443
"79","107.01507_4.129",12.2060726455302,12.2060726455302,11.289781913656,10.3089526606443,11.289781913656,11.5129254649702,12.2060726455302,12.6115377536383
"80","107.04836_2.458",18.3153202282945,16.1180956509583,16.1180956509583,16.1180956509583,13.3046849341983,17.2167079396264,18.3153202282945,15.4249484703984
"81","107.04836_3.175",19.5192930326205,19.5192930326205,17.2167079396264,17.2167079396264,20.2124402131804,18.4206807439524,19.5192930326205,19.5192930326205
"82","107.04839_5.331",17.9098551201864,18.0640058000136,18.0640058000136,16.1180956509583,17.2167079396264,18.4206807439524,17.9098551201864,19.1138279245123
"83","107.08152_4.76",13.4588356140255,13.1223633774043,12.2060726455302,12.2060726455302,12.6115377536383,13.5923670066501,16.8112428315183,15.2018049190842
"84","107.98816_5.235",8.51719319141624,10.8197782844103,9.90348755253613,8.29404964010203,9.90348755253613,9.90348755253613,9.90348755253613,10.8197782844103
